iter	RMSE
0	142.1350253
1	103.2720089
2	134.4007125
3	130.8999834	4	127.6706695	5	124.6832015
6	121.9324317
7	119.333754
8	116.9867388
9	114.8019141
10	112.7601657
11	110.9068966
12	109.1769962
13	107.5969529
14	106.1466043
15	104.796823
16	103.5843262
17	102.4699399
18	101.4383849
19	100.4885994
20	99.61270524
21	98.82667387
22	98.09961744
23	97.43795483
24	96.84419338
25	96.28105845
26	95.77001051
27	95.31464916
28	94.88866248
29	94.51729215
30	94.16869255
31	93.83606421
32	93.52799929
33	93.25576687
34	93.01313184
35	92.79953388
36	92.58988033
37	92.41128365
38	92.24414018
39	92.07032325
40	91.9210147
41	91.78652042
42	91.67717407
43	91.5501588244	84.75023229
45	84.66285035
46	84.59387009
447	91.20964762448	91.13716564949	91.06990644
50	90.98548087
51	90.9294268
52	90.87967349
53	90.84097291
54	90.78705012
55	90.74635173
56	90.71179239
57	90.6772597
58	90.62920205
59	90.57919976
60	90.55145245
61	90.51988032
62	90.47791443
63	90.45822203
64	90.43269004
65	90.40169528
66	90.36535344
67	90.35121639
68	90.33821485
69	90.33017282
70	90.30055795
71	90.28498334
72	90.25290427
73	90.22760514
74	90.21822773
75	90.18542375
76	90.15672558
77	90.14808267
78	90.13624391
79	90.10983871
80	90.09828987
81	90.08575756
82	90.08247442
83	90.06911094
84	90.05403816
85	90.04438172
86	90.04123073
87	90.03778573
88	90.03160455
89	90.01110112
90	89.99704734
91	89.99364321
92	89.9908645
93	89.98843612
94	89.98436046
95	89.98205654
96	89.97497697
97	89.96395262
98	89.95762466
99	89.95365834
100	89.9514129
101	89.95081221
102	89.94967534
103	89.94779646
104	89.94396884
105	89.94223716
106	89.93045154
107	89.91933258
108	89.91577807
109	89.9105655
110	89.90642475
111	89.90031864
112	89.89951159
113	89.88671932
114	89.88377959
115	89.87242974
116	89.8594326
117	89.8578129
118	89.85691823
119	89.85544384
120	89.84478358
121	89.83404123
122	89.82263398
123	89.81116417
124	89.81052827
125	89.80430941
126	89.79806176
127	89.78559817
128	89.78311857
129	89.77119742
130	89.77075802
131	89.76876451
132	89.76384765
133	89.75941143
134	89.7589649
135	89.75549725
136	89.75530806
137	89.74679524
138	89.74402914
139	89.73865189
140	89.73822141
141	89.73800023
142	89.7283131
143	89.71900216
144	89.71439416
145	89.71217801
146	89.71161346
147	89.7112029
148	89.7073075
149	89.70339936
