iter	Passed	Remaining
0	206	30695
1	266	19747
2	328	16080
3	393	14378
4	467	13552
5	539	12941
6	618	12632
7	698	12396
8	779	12214
9	852	11938
10	920	11632
11	1001	11516112	1089	11481113	1181	11476114	1328	11959115	1560	13070116	1761	13777117	2004	14701118	2155	14862
19	2297	14933
20	2489	15292
21	2728	15874
22	3186	17593
23	3326	17465
24	3439	17198
25	3772	17991
26	4195	19111
27	4542	19791
28	4698	19606
29	4820	19282
30	4914	18863
31	5178	19094
32	5374	19055
33	5557	18959
34	5721	18797
35	5842	18501
36	5977	18255
37	6082	17928
38	6190	17620
39	6290	17298
40	6430	17096
41	6800	17487
42	6861	17072
43	6886	1658944	6993	16318
45	7050	15939
46	7091	15541
447	7104	15097448	7175	14789449	7252	14505
50	7331	14232
51	7391	13929
52	7458	13651
53	7540	13405
54	7598	13124
55	7648	12838
56	7709	12579
57	7764	12316
58	7830	12078
59	7875	11812
60	7926	11565
61	7994	11347
62	8069	11143
63	8128	10922
64	8193	10714
65	8252	10503
66	8302	10285
67	8354	10074
68	8407	9869
69	8438	9644
70	8464	9418
71	8491	9199
72	8517	8984
73	8549	8780
74	8580	8580
75	8608	8382
76	8631	8183
77	8653	7987
78	8680	7801
79	8709	7620
80	8747	7451
81	8790	7289
82	8830	7127
83	8858	6959
84	8886	6795
85	8921	6639
86	8948	6480
87	8975	6323
88	8996	6166
89	9023	6015
90	9048	5866
91	9074	5721
92	9098	5576
93	9126	5436
94	9151	5298
95	9176	5161
96	9201	5027
97	9226	4895
98	9249	4765
99	9273	4636
100	9296	4510
101	9322	4386
102	9345	4264
103	9376	4147
104	9404	4030
105	9431	3914
106	9457	3800
107	9480	3686
108	9503	3574
109	9527	3464
110	9552	3356
111	9581	3250
112	9609	3146
113	9633	3042
114	9662	2940
115	9689	2839
116	9715	2740
117	9746	2643
118	9794	2551
119	9843	2460
120	9883	2368
121	9962	2286
122	10007	2196
123	10059	2109
124	10113	2022
125	10144	1932
126	10221	1851
127	10281	1767
128	10337	1682
129	10393	1599
130	10441	1514
131	10484	1429
132	10560	1349
133	10605	1266
134	10652	1183
135	10679	1099
136	10708	1016
137	10735	933
138	10761	851
139	10781	770
140	10807	689
141	10842	610
142	10866	531
143	10886	453
144	10907	376
145	10932	299
146	10958	223
147	10983	148
148	11007	73
149	11031	0
